x,y,u,v
25.0,25.0,-10.723442668059237,-17.740148639112586
50.0,25.0,-10.772614593248242,-17.74014851553728
75.0,25.0,-10.871802294181743,-17.740148272277295
100.0,25.0,-11.022455049035054,-17.74014791619716
125.0,25.0,-11.22615297581396,-17.740147455262324
150.0,25.0,-11.484381478093695,-17.740146897563257
175.0,25.0,-11.798509987252238,-17.740146250992655
200.0,25.0,-12.169862505066083,-17.74014552320285
225.0,25.0,-12.599761137347704,-17.740144721656574
250.0,25.0,-13.079290293800673,-17.7477868161432
275.0,25.0,-13.642535820313437,-17.73652257599331
300.0,25.0,-14.228766773025127,-17.73893512974133
325.0,25.0,-14.912851732608505,-17.740140821519507
350.0,25.0,-15.634737743247419,-17.74013962523692
375.0,25.0,-16.406750855665486,-17.740138335843053
400.0,25.0,-17.220771707505328,-17.740136958733455
425.0,25.0,-18.07230731102642,-17.74013550685055
450.0,25.0,-18.946244840573772,-17.755017735647666
475.0,25.0,-19.890475666989808,-17.75260262710895
500.0,25.0,-20.788317175882312,-17.75260108097015
525.0,25.0,-21.79336366964081,-17.748174620444587
550.0,25.0,-22.73468736117311,-17.74012776302759
575.0,25.0,-23.744326149428375,-17.729667300555906
600.0,25.0,-24.725628091915894,-17.74012442181584
625.0,25.0,-25.724297586193572,-17.740122706242346
650.0,25.0,-26.71094683584682,-17.733684783064916
675.0,25.0,-27.7235732088036,-17.72322421680733
700.0,25.0,-28.67657211950095,-17.725233631403928
725.0,25.0,-29.665779652576404,-17.735690892392284
750.0,25.0,-30.640488714302712,-17.747354740869188
775.0,25.0,-31.544500518109814,-17.746951032673252
800.0,25.0,-32.469271128396265,-17.739708278895623
825.0,25.0,-33.29418375711535,-17.736488471734273
850.0,25.0,-34.16321409841903,-17.735280053070543
875.0,25.0,-34.920212950661075,-17.729646634141734
900.0,25.0,-35.667472443726524,-17.740104132822342
925.0,25.0,-36.34882191990602,-17.740102714828463
950.0,25.0,-36.97731513128535,-17.740101398403855
975.0,25.0,-37.55339709490787,-17.740100199146383
1000.0,25.0,-38.07794700539235,-17.740099133749908
1025.0,25.0,-38.55003108992845,-17.740098216818225
1050.0,25.0,-38.95087817096882,-17.738086138540886
1075.0,25.0,-39.33366796341127,-17.734867402751732
1100.0,25.0,-39.62148904173468,-17.722798963879953
1125.0,25.0,-39.89545842662456,-17.740095842143866
1150.0,25.0,-40.08873202149215,-17.72963663602697
1175.0,25.0,-40.24398822437703,-17.72963633946179
1200.0,25.0,-40.36470406800754,-17.74009495010359
1225.0,25.0,-40.4364880239231,-17.74009479342616
1250.0,25.0,-40.471277826003,-17.74009471586348
25.0,50.0,-10.75542458844916,-17.740148544202015
50.0,50.0,-10.804486105360962,-17.740148420232476
75.0,50.0,-10.903528208309275,-17.74014817645538
