n,d,segment
25.0,14.39569474153558,1
36.0,20.727155459002606,1
49.0,28.205131770467585,1
64.0,36.83080140516689,1
81.0,46.59564091873103,1
100.0,57.509829533243256,1
121.0,69.5745282557697,1
144.0,82.79480756460254,1
196.0,112.71894949535164,1
225.0,129.40739834871908,1
289.0,166.2029338216406,1
361.0,207.5887734508186,1
400.0,230.01361835832873,1
529.0,304.315646783721,1
625.0,359.6626315719362,1
729.0,419.6033773669833,1
900.0,518.1966476916402,1
1089.0,627.9377579929857,1
1369.0,789.5127549497316,1
1600.0,922.8713898102029,1
1936.0,1116.9694150649536,1
2401.0,1385.441059751937,1
2916.0,1682.9137108559125,1
3481.0,2009.3517637469183,1
4225.0,2438.8510835215825,1
5184.0,2991.9551198312793,1
6241.0,3602.102978875792,1
7569.0,4363.517126270984,1
9216.0,5312.878362034891,1
11236.0,6476.407778612888,1
13456.0,7755.4998247230515,1
16384.0,9443.0358813034,1
19881.0,11461.25364311795,1
24025.0,13854.606003001478,1
28900.0,16672.38616415121,1
35344.0,20400.203813509826,1
42436.0,24506.087544572576,1
51529.0,29769.46484010264,1
62500.0,36120.838914325606,1
75625.0,43718.81160323687,1
91809.0,53162.90056711721,1
110889.0,64123.70365439911,1
133956.0,77476.02244879382,1
162409.0,93974.49650639891,1
197136.0,114158.59178631102,1
238144.0,138013.57559208747,1
288369.0,167410.57379929343,1
25.0,0.08241040553356302,2
36.0,0.10131556918682423,2
49.0,0.12266282032888089,2
64.0,0.1430928660542245,2
81.0,0.16574585014316953,2
100.0,0.1890422886642324,2
121.0,0.2140727206234903,2
144.0,0.23852275358599903,2
196.0,0.28210650434897944,2
225.0,0.3040349580054589,2
289.0,0.3427186891855766,2
361.0,0.3956779234719697,2
400.0,0.4179577782134724,2
529.0,0.4849243115405345,2
625.0,0.5398553769776989,2
729.0,0.5948865920935874,2
900.0,0.6891667347065232,2
1089.0,0.7894298166941653,2
1369.0,0.9129923694461959,2
1600.0,0.9845571012272868,2
1936.0,1.0946922203522387,2
2401.0,1.221763395132757,2
2916.0,1.3401139050624928,2
3481.0,1.4866783057083304,2
4225.0,1.6712245011840048,2
5184.0,1.8721360359259893,2
6241.0,2.0347575906349693,2
7569.0,2.3084523791758107,2
9216.0,2.5562559820487643,2
11236.0,2.8325247978742865,2
13456.0,3.255713922890196,2
16384.0,3.5773735910870457,2
19881.0,3.9892023031176067,2
24025.0,4.588482934282217,2
28900.0,5.138789003111136,2
35344.0,5.813873713287049,2
42436.0,6.459819928690756,2
51529.0,7.166956223962687,2
62500.0,8.038170390753288,2
75625.0,9.09210156440335,2
91809.0,10.608547390839181,2
110889.0,12.708496314304268,2
133956.0,13.954472792769963,2
162409.0,15.428697875635223,2
197136.0,17.215406077092535,2
238144.0,19.20799659708531,2
288369.0,22.62031653799289,2
25.0,0.08716469769855496,3
36.0,0.10774620048656572,3
49.0,0.13066001572489977,3
64.0,0.15244225509320636,3
81.0,0.17190026641301595,3
100.0,0.1936545451511457,3
121.0,0.21580086822025832,3
144.0,0.23529784774354223,3
196.0,0.28100897705197325,3
225.0,0.3104635731062803,3
289.0,0.357543974196579,3
361.0,0.40904609955386523,3
400.0,0.43518010998501094,3
529.0,0.5144767435744112,3
625.0,0.5721801951949513,3
729.0,0.6338689373183076,3
900.0,0.7100046388356335,3
1089.0,0.7613844700626001,3
1369.0,0.8655428413955346,3
1600.0,0.9737460729621383,3
1936.0,1.1250134496119808,3
2401.0,1.2918368365399746,3
2916.0,1.4495950971147014,3
3481.0,1.636222504436972,3
4225.0,1.814464529682818,3
5184.0,2.032386859217396,3
6241.0,2.2492463746490214,3
7569.0,2.51613952762573,3
9216.0,2.8941268932985014,3
11236.0,3.235994180337568,3
13456.0,3.69369745643813,3
16384.0,4.201924425473308,3
19881.0,4.682727447290253,3
24025.0,5.356982881824378,3
28900.0,5.940619610446173,3
35344.0,6.487825034347507,3
