Unnamed: 0,frame, ,x,y,XM,YM,Major,Minor,Angle,frame.1,particle
0,1,1,252.358,109.87100000000001,252.358,109.87100000000001,34.13,28.427,89.22399999999998,1,0
1,1,15,495.912,196.31900000000002,495.912,196.31900000000002,37.12,30.768,81.715,1,1
2,1,14,528.006,195.843,528.006,195.843,44.248999999999995,35.479,89.245,1,2
3,1,13,594.5269999999998,191.041,594.5269999999998,191.041,40.808,28.081,103.678,1,3
4,1,12,562.913,194.058,562.913,194.058,50.012,39.053000000000004,91.83,1,4
5,1,10,615.976,176.44,615.976,176.44,38.589,25.636999999999997,105.445,1,5
6,1,9,433.67,178.74400000000003,433.67,178.74400000000003,48.588,37.656,76.82600000000002,1,6
7,1,11,467.027,181.266,467.027,181.266,43.903,34.105,86.208,1,7
8,1,7,403.777,159.31,403.777,159.31,48.887,36.41,80.461,1,8
9,1,6,369.00199999999995,161.226,369.00199999999995,161.226,49.089,36.883,75.53699999999998,1,9
10,1,5,679.681,159.63,679.681,159.63,50.711999999999996,41.95399999999999,95.208,1,10
11,1,4,339.79699999999997,141.007,339.79699999999997,141.007,48.761,37.471,72.917,1,11
12,1,3,306.666,131.79,306.666,131.79,43.401,35.468,77.991,1,12
13,1,2,280.069,112.867,280.069,112.867,37.911,30.932,75.74600000000002,1,13
14,1,8,644.811,170.815,644.811,170.815,49.474,35.541,98.116,1,14
15,2,25,466.684,180.665,466.684,180.665,44.912,35.296,83.50200000000002,2,7
16,2,30,494.735,198.468,494.735,198.468,37.184,31.261999999999997,80.168,2,1
17,2,29,527.004,197.101,527.004,197.101,44.626999999999995,35.721,89.19200000000002,2,2
18,2,28,592.92,190.31799999999998,592.92,190.31799999999998,40.95,28.480999999999998,100.964,2,3
19,2,27,561.491,192.56799999999998,561.491,192.56799999999998,49.808,38.166,93.47399999999999,2,4
20,2,26,615.976,177.99400000000003,615.976,177.99400000000003,39.117,25.974,104.678,2,5
21,2,24,433.275,176.572,433.275,176.572,48.736999999999995,36.731,78.942,2,6
22,2,19,339.185,143.123,339.185,143.123,49.343999999999994,38.782,73.07600000000002,2,11
